sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,2,
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,1,"[""0:1"",""1:2"",""2:3""]",mouth_landmarks_62_66_over_48_54,117,0.0137112131469871,0.08,26,0.0382807854369644,0.3998164975084236,0.4230769230769231,0.5925925925925926,1,
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,0,"[""0:0"",""1:1""]",mouth_landmarks_62_66_over_48_54,81,0.2281988870772342,0.08,26,0.208588390470122,0.5131288554212263,0.5769230769230769,0.4444444444444444,1,
-t217m2on-s$_$2,-t217m2on-s,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,142,0.3764442195085689,0.16,24,0.0995857720959032,0.2871208215087407,1.0,0.04,1,
-t217m2on-s$_$7,-t217m2on-s,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,427,0.2792884284817925,0.0,26,0.0541194690505063,0.2468575554237169,0.9615384615384616,0.074074074074074,1,
-tANM6ETl_M$_$3,-tANM6ETl_M,0,"[""0:0"",""0:1""]",mouth_landmarks_62_66_over_48_54,152,0.0711048989955677,0.08,25,0.1664261640566367,0.3136547670131105,0.36,0.6538461538461539,1,
-tANM6ETl_M$_$3,-tANM6ETl_M,1,"[""1:2""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,2,
-tPCytz4rww$_$10,-tPCytz4rww,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,119,0.2332937913386707,-0.04,26,0.1224132516188109,0.2129079520060232,0.9615384615384616,0.074074074074074,1,
-tPCytz4rww$_$11,-tPCytz4rww,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,137,0.1157776449652923,-0.08,24,0.072437836984148,0.2134717786520982,0.625,0.4,1,
-tPCytz4rww$_$12,-tPCytz4rww,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,295,0.0958942075090451,0.0,26,0.0877048248707554,0.135526579186959,0.5384615384615384,0.4814814814814814,1,
