sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage
-s9qJ7ATP7w$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,11,1.0,0.2347571614583334,0.1812076822916668,0.2192623697916669,0.4165628255208335,0.850896484375,1.0,1.0
-s9qJ7ATP7w$_$4,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,9,1.0,0.2711946022727272,0.1854758522727273,0.2989204545454545,0.4024607954545454,0.5640752840909091,1.0,1.0
-s9qJ7ATP7w$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,19,1.0,0.3692981321839079,0.2569039750957849,0.3463374042145588,0.4959176245210727,0.706435344827586,1.0,1.0
-s9qJ7ATP7w$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,5,1.0,0.2429608274647887,0.2209608274647889,0.2684533450704226,0.368409639084507,0.6342922535211268,1.0,1.0
-s9qJ7ATP7w$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,28,1.0,0.1849262030516432,0.143549149061033,0.1735576584507047,0.2868455252347421,0.4308334800469486,1.0,1.0
-s9qJ7ATP7w$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.2202992424242423,0.1756590909090907,0.2372133838383837,0.3040338383838383,0.468367424242424,1.0,1.0833333333333333
-t217m2on-s$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.2199456249999998,0.154325625,0.2079153124999999,0.3929229999999999,1.03997625,1.0,1.0
-t217m2on-s$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,45,1.0,0.2706983286252331,0.2024769303201496,0.2558925376647822,0.385849835216571,0.6883167372881331,1.0,1.0
-tANM6ETl_M$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.2616253048780488,0.1977064024390236,0.2569911585365848,0.3580451981707315,0.4822506097560968,1.0,1.0
-tPCytz4rww$_$10,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,12,1.0,0.3148765086206894,0.2424801724137927,0.2640329741379308,0.3077771120689653,0.5332176724137927,1.0,1.0
-tPCytz4rww$_$11,MATCH_WEAK,WhisperX_partially_supports_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,17,1.0,0.2469990643712574,0.1845503368263472,0.2533269086826347,0.3220311751497,0.5833038922155684,1.0,1.0
-tPCytz4rww$_$12,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,26,1.0,0.2876705942622949,0.1955765881147542,0.24196618852459,0.4104375640368848,0.7690732581967215,1.0,1.0
