sample_id,video_id,episode_a,face_id_a,episode_b,face_id_b,cosine_similarity,episode_a_valid_embeddings,episode_b_valid_embeddings,episode_a_dispersion,episode_b_dispersion
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1,0,5,1,0.4665529131889343,12,1,0.0930201709270477,0.0
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1,0,6,1,0.5544828176498413,12,2,0.0930201709270477,0.0314989984035491
-hnBHBN8p5A$_$6,-hnBHBN8p5A,2,0,3,0,,5,0,0.0329992771148681,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,2,0,4,0,,5,0,0.0329992771148681,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,2,0,5,1,0.3938431739807129,5,1,0.0329992771148681,0.0
-hnBHBN8p5A$_$6,-hnBHBN8p5A,2,0,6,1,0.800507664680481,5,2,0.0329992771148681,0.0314989984035491
-hnBHBN8p5A$_$6,-hnBHBN8p5A,3,0,4,0,,0,0,,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,3,0,5,1,,0,1,,0.0
-hnBHBN8p5A$_$6,-hnBHBN8p5A,3,0,6,1,,0,2,,0.0314989984035491
-hnBHBN8p5A$_$6,-hnBHBN8p5A,4,0,5,1,,0,1,,0.0
-hnBHBN8p5A$_$6,-hnBHBN8p5A,4,0,6,1,,0,2,,0.0314989984035491
-hnBHBN8p5A$_$6,-hnBHBN8p5A,5,1,6,1,0.4609485268592834,1,2,0.0,0.0314989984035491
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,0,1,0,0.4899814128875732,2,5,0.0738276541233062,0.0173053443431854
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,0,2,0,0.3442039787769317,2,12,0.0738276541233062,0.0797824263572692
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,0,3,0,,2,0,0.0738276541233062,
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,0,4,1,0.2814128696918487,2,12,0.0738276541233062,0.1047167778015136
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,0,5,1,0.3008171319961548,2,1,0.0738276541233062,0.0
-hnBHBN8p5A$_$7,-hnBHBN8p5A,0,0,6,1,0.3536840677261352,2,12,0.0738276541233062,0.0728332102298736
